,Date,Avg temperature (F),Precip Inches,Cloud Cover,Wind Speed(Miles)
313,2016-11-09,53,0.0,0.75,4.25
314,2016-11-10,52,0.0,2.5,6.0
315,2016-11-11,45,0.0,7.0,3.75
316,2016-11-12,51,0.0,2.5,4.375
317,2016-11-13,51,0.0,8.0,5.75
318,2016-11-14,53,0.0,10.875,6.375
319,2016-11-15,58,0.0,4.125,6.125
320,2016-11-16,61,0.0,24.0,11.375
321,2016-11-17,31,0.2,54.5,6.625
322,2016-11-18,21,0.0,14.75,3.875
323,2016-11-19,30,0.0,4.25,3.75
324,2016-11-20,47,0.0,22.0,6.0
325,2016-11-21,50,0.0,23.375,4.5
326,2016-11-22,35,0.0,55.75,6.0
327,2016-11-23,36,0.0,8.75,3.25
328,2016-11-24,36,0.0,3.25,5.875
329,2016-11-25,41,0.0,0.625,6.0
330,2016-11-26,42,0.0,5.125,6.0
331,2016-11-27,39,0.0,16.375,8.875
332,2016-11-28,32,0.0,23.75,8.0
333,2016-11-29,28,0.0,49.125,4.5
334,2016-11-30,26,0.0,3.25,3.875
335,2016-12-01,27,0.0,29.625,4.0
336,2016-12-02,24,0.0,40.25,3.5
337,2016-12-03,26,0.0,15.0,3.625
338,2016-12-04,33,0.0,8.625,5.375
339,2016-12-05,37,0.0,8.25,9.125
340,2016-12-06,19,0.0,34.125,5.0
341,2016-12-07,6,0.1,88.0,4.625
342,2016-12-08,5,0.0,27.125,3.0
343,2016-12-09,29,0.0,10.0,3.75
344,2016-12-10,37,0.0,7.25,6.125
345,2016-12-11,34,0.0,21.375,4.375
346,2016-12-12,30,0.0,7.25,4.625
347,2016-12-13,29,0.0,4.625,4.375
348,2016-12-14,20,0.0,23.875,5.25
349,2016-12-15,38,0.0,8.125,4.375
350,2016-12-16,38,0.0,21.375,5.25
351,2016-12-17,-6,0.2,69.0,4.25
352,2016-12-18,11,0.0,5.0,3.625
353,2016-12-19,27,0.0,4.5,6.875
354,2016-12-20,37,0.0,8.625,8.375
355,2016-12-21,31,0.0,10.625,7.25
356,2016-12-22,29,0.0,27.5,2.5
357,2016-12-23,34,0.0,15.5,4.0
